Identifiant marché,Catégorie,Logiciel,Critique
3,Système d'exploitation,Noyau CentOS,Non
4,Système d'exploitation,Noyau Debian,Non
5,Système d'exploitation,Noyau Ubuntu,Non
6,Système d'exploitation,Kali Linux,Non
7,Système d'exploitation,LVS (Linux Virtual Server) / Ipvsadm,Oui
8,Système d'exploitation,Keepalived,Oui
9,Système d'exploitation,heartbeat,Oui
10,Système d'exploitation,Ntp,Oui
11,Système d'exploitation,Drbd,Oui
12,Système d'exploitation,Linstor,Non
13,Système d'exploitation,Drbdlinks,Oui
14,Système d'exploitation,syslog-ng,Oui
15,Système d'exploitation,LVM,Oui
16,Système d'exploitation,logrotate,Oui
17,Système d'exploitation,Audit,Oui
18,Système d'exploitation,Cobbler,Oui
19,Système d'exploitation,Glibc,Oui
20,Système d'exploitation,Virt-manager,Oui
21,Système d'exploitation,Libvirt,Oui
22,Système d'exploitation,Puppet,Oui
23,Système d'exploitation,Ansible,Non
24,Système d'exploitation,AWX,Non
25,Système d'exploitation,Func,Oui
26,Système d'exploitation,rsyslog,Oui
27,Système d'exploitation,Grafana,Oui
28,Système d'exploitation,Grafana Loki,Oui
29,Système d'exploitation,Proxmox VE,Oui
30,Système d'exploitation,Proxmox backup server,Oui
31,Système d'exploitation,Kubernetes,Oui
32,Système d'exploitation,Rancher,Oui
33,Système d'exploitation,TrueNAS CORE,Non
35,"Infrastructure (proxies, annuaires, DNS)",OpenLDAP,Oui
36,"Infrastructure (proxies, annuaires, DNS)",Apache Directory,Non
37,"Infrastructure (proxies, annuaires, DNS)",LemonLDAP::NG,Oui
38,"Infrastructure (proxies, annuaires, DNS)",nss_ldap,Oui
39,"Infrastructure (proxies, annuaires, DNS)",389 Directory Server,Oui
40,"Infrastructure (proxies, annuaires, DNS)",Freeradius,Oui
41,"Infrastructure (proxies, annuaires, DNS)",ISC BIND,Oui
42,"Infrastructure (proxies, annuaires, DNS)",ISC DHCP,Oui
43,"Infrastructure (proxies, annuaires, DNS)",Varnish,Oui
44,"Infrastructure (proxies, annuaires, DNS)",SQUID,Oui
45,"Infrastructure (proxies, annuaires, DNS)",SQUIDGUARD,Oui
46,"Infrastructure (proxies, annuaires, DNS)",Bacula,Oui
47,"Infrastructure (proxies, annuaires, DNS)",OpenNebula,Oui
48,"Infrastructure (proxies, annuaires, DNS)",HAProxy,Oui
49,"Infrastructure (proxies, annuaires, DNS)",Keycloak,Oui
50,"Infrastructure (proxies, annuaires, DNS)",CUPS,Non
52,Messagerie,Amavisd-new,Oui
53,Messagerie,Postgrey,Oui
54,Messagerie,Pflogsumm,Oui
55,Messagerie,Cyrus IMAP,Oui
56,Messagerie,Sendmail,Non
57,Messagerie,Spamassassin,Oui
58,Messagerie,rspamd,Oui
59,Messagerie,Postfix,Oui
60,Messagerie,Postfwd,Non
61,Messagerie,OpenDKIM,Oui
62,Messagerie,OpenDMARC,Oui
63,Messagerie,pyspf,Oui
64,Messagerie,Horde,Oui
65,Messagerie,OpenFire (anciennement Wildfire),Oui
66,Messagerie,Maarch Courrier,Non
67,Messagerie,Maarch RM,Non
68,Messagerie,Nats.io,Non
70,Serveurs de fichier,Samba,Oui
71,Serveurs de fichier,MIT Kerberos,Oui
72,Serveurs de fichier,rsync,Oui
73,Serveurs de fichier,Putty,Oui
74,Serveurs de fichier,WinSCP3,Oui
75,Serveurs de fichier,vsftpd,Oui
76,Serveurs de fichier,NFS,Oui
77,Serveurs de fichier,GFS2,Oui
78,Serveurs de fichier,Filezilla serveur,Oui
79,Serveurs de fichier,Filezilla client,Oui
80,Serveurs de fichier,Prodftpd,Non
81,Serveurs de fichier,MinIO,Oui
83,Serveurs d'applications,Tomcat,Oui
84,Serveurs d'applications,JBoss,Oui
85,Serveurs d'applications,Dovecot,Non
86,Serveurs d'applications,Gunicorn,Non
88,SGBD,MySQL,Oui
89,SGBD,MariaDB,Oui
90,SGBD,GALERA,Non
91,SGBD,PostgreSQL,Oui
92,SGBD,PostGis,Oui
93,SGBD,pg_upgrade,Oui
94,SGBD,Ora2pg,Oui
95,SGBD,PgAdmin,Oui
96,SGBD,PhpMyAdmin,Non
97,SGBD,Repmgr,Oui
98,SGBD,Slony-I,Oui
99,SGBD,libnss-pgsql,Oui
100,SGBD,ZooKeeper,Oui
101,SGBD,MongoDB,Oui
102,SGBD,Firebird,Oui
103,SGBD,Redis,Oui
104,SGBD,Neo4j,Oui
105,SGBD,Neo4J-OGM,Oui
106,SGBD,Metabase,Oui
107,SGBD,InfluxDB,Non
109,Serveur web,Apache HTTP Server,Oui
110,Serveur web,mod_jk,Non
111,Serveur web,mod_ssl,Non
112,Serveur web,mod_perl,Non
113,Serveur web,mod_php,Non
114,Serveur web,mod_tsa,Oui
115,Serveur web,mod_proxy,Oui
116,Serveur web,mod_python,Non
117,Serveur web,mod_status,Oui
118,Serveur web,mod_security,Oui
119,Serveur web,mod_auth_kerb,Oui
120,Serveur web,mod_auth_ldap,Oui
121,Serveur web,mod_authz_ldap,Oui
122,Serveur web,mod_nss,Non
123,Serveur web,AwStats,Oui
124,Serveur web,Matomo (Ex. Piwik),Oui
125,Serveur web,Nginx,Oui
126,Serveur web,Fluentd,Non
128,Sécurité,OpenSSL,Oui
129,Sécurité,BouncyCastle,Oui
130,Sécurité,Apache XML Security,Oui
131,Sécurité,XMLsec,Oui
132,Sécurité,OpenSSH (dont sftp server),Oui
133,Sécurité,Shorewall,Oui
134,Sécurité,Snort,Oui
135,Sécurité,nmap,Oui
136,Sécurité,Keepass,Oui
137,Sécurité,GnuPG,Oui
138,Sécurité,Passbolt CE,Oui
139,Sécurité,WinPT,Oui
140,Sécurité,ClamAV,Oui
141,Sécurité,HAVP,Oui
142,Sécurité,c-icap,Oui
143,Sécurité,c-icap modules,Oui
144,Sécurité,BAREOS,Non
145,Sécurité,webUI,Non
146,Sécurité,contrib,Non
147,Sécurité,VAULT,Non
148,Sécurité,Promotheus,Non
150,Réseaux,libpcap,Oui
151,Réseaux,Stunnel,Oui
152,Réseaux,OpenVpn,Oui
153,Réseaux,TFTP-SERVER,Oui
154,Réseaux,OpenVSwitch,Oui
155,Réseaux,tcpdump,Non
157,Supervision,NAGIOS,Oui
158,Supervision,PLUGINS STANDARD NAGIOS,Non
159,Supervision,Check_mk,Non
160,Supervision,Centreon,Oui
161,Supervision,Zabbix,Oui
162,Supervision,Graylog,Non
163,Supervision,rrdtool,Oui
164,Supervision,Cacti,Oui
165,Supervision,OCS inventory NG,Oui
166,Supervision,Agent OCS Android,Non
167,Supervision,Agent OCS Windows,Non
168,Supervision,Agent OCS Unix/Linux,Non
169,Supervision,Fusion Inventory,Oui
170,Supervision,GLPI,Oui
171,Supervision,BEHAVIOR,Non
172,Supervision,Escalation,Non
173,Supervision,PDF,Non
174,Supervision,Datainjection,Non
175,Supervision,Timelinetickets,Non
176,Supervision,Survey,Non
177,Supervision,OCS,Non
178,Supervision,Webservice,Non
179,Supervision,Reports,Non
180,Supervision,MBeanMonitor,Oui
181,Supervision,FusionInventory For GLPI,Oui
183,Administration,Webmin,Oui
184,Administration,UltraVNC,Oui
185,Administration,XRDP,Non
187,Bureautique,LibreOffice,Oui
188,Bureautique,Grammalecte,Oui
189,Bureautique,Lirecouleur,Non
190,Bureautique,Geooo,Non
191,Bureautique,OooHG,Non
192,Bureautique,Firefox,Oui
193,Bureautique,Gridlex,Oui
194,Bureautique,Selenium Builder,Oui
195,Bureautique,Selenium IDE,Oui
196,Bureautique,fluentlenium,Oui
197,Bureautique,HTML Validator,Oui
198,Bureautique,AddBlock+,Oui
199,Bureautique,IE Tab2,Oui
200,Bureautique,Flashblock,Oui
201,Bureautique,Thunderbird,Oui
202,Bureautique,Lightning,Oui
203,Bureautique,Obm-Connector,Oui
204,Bureautique,Autozip,Oui
205,Bureautique,Myspell,Non
206,Bureautique,Multildap,Non
207,Bureautique,Quote Color,Non
208,Bureautique,XsearchBar,Non
209,Bureautique,ImageMagick,Oui
210,Bureautique,Explorer++,Oui
211,Bureautique,Sumatra,Oui
212,Bureautique,NVDA,Oui
213,Bureautique,SuiteCRM,Non
215,Exploitation,Rundeck,Oui
216,Exploitation,Docker,Non
217,Exploitation,portainer,Non
218,Exploitation,Apache superset,Non
219,Exploitation,Logstash,Non
220,Exploitation,SnakeTail,Non
222,Outils et langages,PHP,Oui
223,Outils et langages,PHP-FPM,Oui
224,Outils et langages,Perl,Oui
225,Outils et langages,Python,Oui
226,Outils et langages,NppFTP,Oui
227,Outils et langages,Eclipse,Oui
228,Outils et langages,Eclipse TPTP,Non
229,Outils et langages,Eclipse WTP,Oui
230,Outils et langages,GEF,Oui
231,Outils et langages,"checkstyle, plugin Eclipse",Oui
232,Outils et langages,Eclipse DTP,Oui
233,Outils et langages,M2eclipse,Oui
234,Outils et langages,Spring IDE,Oui
235,Outils et langages,MyLyn,Oui
236,Outils et langages,PyDev,Oui
237,Outils et langages,Jautodoc,Oui
238,Outils et langages,GMF,Oui
239,Outils et langages,Metrics,Oui
240,Outils et langages,CAP,Oui
241,Outils et langages,Hibernate Tools,Oui
242,Outils et langages,Subclipse,Oui
243,Outils et langages,Subversive,Oui
244,Outils et langages,SonarQube,Oui
245,Outils et langages,SonarLint,Oui
246,Outils et langages,Jasper Studio,Oui
247,Outils et langages,jsf,Non
248,Outils et langages,Memory Analyser Tool (MAT),Oui
249,Outils et langages,Clippets,Oui
250,Outils et langages,EclEmma,Oui
251,Outils et langages,ERMaster,Oui
252,Outils et langages,ShellEd,Oui
253,Outils et langages,Xtext,Oui
254,Outils et langages,TailConsole,Oui
255,Outils et langages,GrepConsole,Oui
256,Outils et langages,MoreUnit,Oui
257,Outils et langages,Oomph,Oui
258,Outils et langages,WDT,Oui
259,Outils et langages,DLTK,Oui
260,Outils et langages,DBeaver,Oui
261,Outils et langages,Papyrus,Oui
262,Outils et langages,SQuirreL SQL,Oui
263,Outils et langages,ANT,Oui
264,Outils et langages,Ant-Contrib,Oui
265,Outils et langages,Maven et plugins,Oui
266,Outils et langages,Swagger-codegen-maven-plugin,Non
267,Outils et langages,maven-javancss-plugin,Non
268,Outils et langages,clean,Non
269,Outils et langages,compiler,Non
270,Outils et langages,deploy,Non
271,Outils et langages,install,Non
272,Outils et langages,resources,Non
273,Outils et langages,site,Non
274,Outils et langages,surefire,Non
275,Outils et langages,verifier,Non
276,Outils et langages,ear,Non
277,Outils et langages,ejb,Non
278,Outils et langages,jar,Non
279,Outils et langages,rar,Non
280,Outils et langages,war,Non
281,Outils et langages,changelog,Non
282,Outils et langages,changes,Non
283,Outils et langages,"checkstyle, plugin Maven",Non
284,Outils et langages,doap,Non
285,Outils et langages,docck,Non
286,Outils et langages,javadoc,Non
287,Outils et langages,jxr,Non
288,Outils et langages,pmd (pluging Maven),Non
289,Outils et langages,project-info-reports,Non
290,Outils et langages,surefire-report,Non
291,Outils et langages,ant,Non
292,Outils et langages,antlr,Non
293,Outils et langages,antrun,Non
294,Outils et langages,archetype,Non
295,Outils et langages,assembly,Non
296,Outils et langages,dependency,Non
297,Outils et langages,gpg,Non
298,Outils et langages,help,Non
299,Outils et langages,invoker,Non
300,Outils et langages,one,Non
301,Outils et langages,plugin,Non
302,Outils et langages,release,Non
303,Outils et langages,remote-ressources,Non
304,Outils et langages,repository,Non
305,Outils et langages,scm,Non
306,Outils et langages,source,Non
307,Outils et langages,eclipse,Non
308,Outils et langages,jdepend,Non
309,Outils et langages,sql,Non
310,Outils et langages,cargo,Non
311,Outils et langages,jalopy,Oui
312,Outils et langages,jalopy console,Non
313,Outils et langages,javancss-maven-plugin,Non
314,Outils et langages,rpm-maven-plugin,Non
315,Outils et langages,Wagon,Oui
316,Outils et langages,Selenium plugin,Oui
317,Outils et langages,Castor-Maven,Oui
318,Outils et langages,Xslt-Maven,Oui
319,Outils et langages,DbUnit,Oui
320,Outils et langages,TagList,Oui
321,Outils et langages,jaxws-maven-plugin,Oui
322,Outils et langages,m2e Maven Eclipse Integration,Oui
323,Outils et langages,Xdoclet,Oui
324,Outils et langages,OWASP CSRF Guard,Oui
325,Outils et langages,Owasp Java HTML Sanitizer,Oui
326,Outils et langages,Display Tag,Oui
327,Outils et langages,itext,Oui
328,Outils et langages,Pdftk,Oui
329,Outils et langages,Jasperreports,Oui
330,Outils et langages,pmd,Non
331,Outils et langages,jsch,Non
332,Outils et langages,Jfrog Artifactory,Oui
333,Outils et langages,Cargo,Oui
334,Outils et langages,Open Jdk,Oui
335,Outils et langages,R,Oui
336,Outils et langages,Haven,Oui
337,Outils et langages,RStudio,Oui
338,Outils et langages,RShiny,Oui
339,Outils et langages,Metrics,Oui
340,Outils et langages,Metricbeat,Non
341,Outils et langages,Jenkins,Oui
342,Outils et langages,Sonar,Oui
343,Outils et langages,GnuCobol,Oui
344,Outils et langages,Nexus,Oui
345,Outils et langages,Zend engine,Non
346,Outils et langages,Information System Designer,Non
348,Framework de développement,Struts 1,Oui
349,Framework de développement,Struts 2,Oui
350,Framework de développement,stxx,Oui
351,Framework de développement,tiles,Oui
352,Framework de développement,PrimeFace,Oui
353,Framework de développement,JSTL,Oui
354,Framework de développement,Spring Framework,Oui
355,Framework de développement,Spring WebFlow,Oui
356,Framework de développement,Spring Security,Oui
357,Framework de développement,Spring Batch,Oui
358,Framework de développement,MyFaces,Oui
359,Framework de développement,Tomahawk,Oui
360,Framework de développement,OSWorkflow,Oui
361,Framework de développement,Quartz,Oui
362,Framework de développement,Torque,Oui
363,Framework de développement,Hibernate,Oui
364,Framework de développement,Ibatis,Oui
365,Framework de développement,Xalan-Java,Oui
366,Framework de développement,Xerces2 Java,Oui
367,Framework de développement,Castor,Oui
368,Framework de développement,jaxen,Oui
369,Framework de développement,XMLBeans,Oui
370,Framework de développement,dom4j,Oui
371,Framework de développement,AXIS,Oui
372,Framework de développement,Log4j,Oui
373,Framework de développement,Sl4j,Oui
374,Framework de développement,Mx4j,Oui
375,Framework de développement,Wsdl4j,Oui
376,Framework de développement,JAX-WS RI,Oui
377,Framework de développement,Apache Commons,Oui
378,Framework de développement,Apache Commons attributes,Non
379,Framework de développement,Apache Commons beanutils,Non
380,Framework de développement,Apache Commons betwixt,Non
381,Framework de développement,Apache Commons CLI,Non
382,Framework de développement,Apache Commons codec,Non
383,Framework de développement,Apache Commons collections,Non
384,Framework de développement,Apache Commons configuration,Non
385,Framework de développement,Apache Commons daemon,Non
386,Framework de développement,Apache Commons dbcp,Non
387,Framework de développement,Apache Commons dbutils,Non
388,Framework de développement,Apache Commons digester,Non
389,Framework de développement,Apache Commons discovery,Non
390,Framework de développement,Apache Commons EL,Non
391,Framework de développement,Apache Commons fileupload,Non
392,Framework de développement,Apache Commons httpclient,Non
393,Framework de développement,Apache Commons io,Non
394,Framework de développement,Apache Commons jelly,Non
395,Framework de développement,Apache Commons JEXL,Non
396,Framework de développement,Apache Commons JXpath,Non
397,Framework de développement,Apache Commons lang,Non
398,Framework de développement,Apache Commons launcher,Non
399,Framework de développement,Apache Commons logging,Non
400,Framework de développement,Apache Commons modeler,Non
401,Framework de développement,Apache Commons net,Non
402,Framework de développement,Apache Commons pool,Non
403,Framework de développement,Apache Commons primitives,Non
404,Framework de développement,Apache Commons validator,Non
405,Framework de développement,Antlr,Oui
406,Framework de développement,cglib,Oui
407,Framework de développement,ehcache,Oui
408,Framework de développement,regexp,Oui
409,Framework de développement,jaxrpc,Oui
410,Framework de développement,saaj,Oui
411,Framework de développement,xmltask,Oui
412,Framework de développement,Drools Expert,Oui
413,Framework de développement,Logback,Oui
414,Framework de développement,FOP,Oui
415,Framework de développement,Driver JDBC pour postgresql,Oui
416,Framework de développement,Jersey,Oui
417,Framework de développement,Petals,Oui
418,Framework de développement,ServiceMix,Oui
419,Framework de développement,ActiveMQ,Oui
420,Framework de développement,WSO2 API Management,Oui
421,Framework de développement,Identity Server,Oui
422,Framework de développement,XADES4j,Oui
423,Framework de développement,Jquery UI,Oui
424,Framework de développement,bootstrap,Non
425,Framework de développement,Dojo,Oui
426,Framework de développement,XML Graphics Common,Oui
427,Framework de développement,FPDF,Oui
428,Framework de développement,FPDI,Oui
429,Framework de développement,Smarty,Oui
430,Framework de développement,AngularJS,Oui
431,Framework de développement,NodeJS,Oui
432,Framework de développement,Joget,Oui
433,Framework de développement,OpenSC,Oui
434,Framework de développement,IntelliJ,Non
435,Framework de développement,mPDF,Oui
436,Framework de développement,Spring Boot,Non
437,Framework de développement,Symfony,Non
438,Framework de développement,gravitee,Non
439,Framework de développement,Apache kafka,Non
441,Outils de tests,OpenSTA,Oui
442,Outils de tests,Jmeter,Oui
443,Outils de tests,Gatling,Oui
444,Outils de tests,sysstat (sar & isag),Oui
445,Outils de tests,Junit,Oui
446,Outils de tests,DBUnit,Oui
447,Outils de tests,TestLink,Oui
448,Outils de tests,Squash TM,Oui
449,Outils de tests,SoapUI,Oui
450,Outils de tests,Selenium plugin,Non
451,Outils de tests,Java Client Driver,Non
452,Outils de tests,Tanaguru,Oui
453,Outils de tests,Asqatasun,Non
455,SIG,GeoServer,Oui
456,SIG,QGis,Oui
458,Collaboratif,Bugzilla,Oui
459,Collaboratif,Redmine,Oui
460,Collaboratif,Zammad,Oui
461,Collaboratif,Fusion Forge,Oui
462,Collaboratif,SVN,Oui
463,Collaboratif,Tortoise SVN,Oui
464,Collaboratif,Git,Oui
465,Collaboratif,Gitlab,Non
466,Collaboratif,Sympa,Oui
467,Collaboratif,Mantis,Oui
468,Collaboratif,Limesurvey,Oui
469,Collaboratif,Kanboard,Oui
470,Collaboratif,ProjectLibre,Oui
471,Collaboratif,GanttProject,Oui
472,Collaboratif,Nextcloud,Oui
473,Collaboratif,Roundcube,Oui
474,Collaboratif,Z-Push,Oui
475,Collaboratif,SabreDAV,Oui
476,Collaboratif,Veyon,Oui
477,Collaboratif,Framadate,Oui
478,Collaboratif,GRR,Oui
479,Collaboratif,COLLABORA online,Non
480,Collaboratif,Moodle,Non
481,Collaboratif,Bigbluebutton,Non
482,Collaboratif,H5P,Non
483,Collaboratif,Fordson (thèmes),Non
484,Collaboratif,PulseAudio,Non
485,Collaboratif,RocketChat,Non
486,Collaboratif,Bigbluebutton,Non
487,Collaboratif,Greenlight,Non
488,Collaboratif,Wekan,Non
489,Collaboratif,Publik,Oui
490,Collaboratif,Sogo,Oui
492,Publication,Joomla !,Oui
493,Publication,SPIP,Non
494,Publication,Wordpress,Oui
495,Publication,Alfresco community,Oui
496,Publication,DSpace,Oui
497,Publication,JasperStudio,Oui
498,Publication,MediaWiki,Oui
499,Publication,PdfBook,Oui
500,Publication,Lucene,Oui
501,Publication,Solr,Non
502,Publication,ElasticSearch,Oui
503,Publication,Filebeat,Non
504,Publication,Kibana,Oui
505,Publication,OpenSearchServer,Oui
506,Publication,Datafaris,Oui
507,Publication,XWiki,Oui
508,Publication,StatusNet,Oui
509,Publication,eZpublish,Oui
510,Publication,Drupal-core,Oui
511,Publication,Boost,Oui
514,Publication,phpBB,Non
515,Publication,SURICATA,Non
516,Publication,The Hive,Non
519,Décisionnel,Talend Open Studio,Oui
520,Décisionnel,Pentaho CE,Oui
521,Décisionnel,DataLift,Oui
